"filename", "language", "JSON with Comments", "JSON", "YAML", "Ignore", "TypeScript", "Markdown", "Prisma", "SQL", "Docker", "comment", "blank", "total"
"d:\project\DATN\spotify-clone\server\src\core\global\prisma\prisma.service.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 5, 51
"d:\project\DATN\spotify-clone\server\src\core\global\queueProcessor\consumer\sendMailTempleUpdateEvent.processor.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 11, 49
"d:\project\DATN\spotify-clone\server\src\core\global\queueProcessor\queueIdentity.constant.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 15, 6, 33
"d:\project\DATN\spotify-clone\server\src\core\global\queueProcessor\queueProcessor.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"d:\project\DATN\spotify-clone\server\src\core\global\queueProcessor\queueProcessor.service.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 17, 74
"d:\project\DATN\spotify-clone\server\src\core\global\queue\queue.module.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\project\DATN\spotify-clone\server\src\core\global\redis\redis.module.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 8, 48
"d:\project\DATN\spotify-clone\server\src\core\global\redis\redis.service.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"d:\project\DATN\spotify-clone\server\src\core\global\ses\dto\ses-webhook.dto.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"d:\project\DATN\spotify-clone\server\src\core\global\ses\ses.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\project\DATN\spotify-clone\server\src\core\global\ses\ses.service.ts", "TypeScript", 0, 0, 0, 0, 360, 0, 0, 0, 0, 5, 41, 406
"d:\project\DATN\spotify-clone\server\src\core\guard\base.guard.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"d:\project\DATN\spotify-clone\server\src\core\guard\disable.guard.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"d:\project\DATN\spotify-clone\server\src\core\guard\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\project\DATN\spotify-clone\server\src\core\guard\role.guard.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 8, 10, 70
"d:\project\DATN\spotify-clone\server\src\core\interceptor\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
